title	author	translator	publish	time	price	grade	commentnumber
局外人	[法] 阿尔贝·加缪	 柳鸣九	 上海译文出版社	2010	22.00元	9.0	34213
一个人的朝圣	【英】蕾秋·乔伊斯	 黄妙瑜	 北京联合出版公司	2013	32.80	8.1	32438
史蒂夫·乔布斯传	[美] 沃尔特·艾萨克森	 管延圻	 中信出版社	2011	68.00元	8.7	27753
看不见的城市	[意大利]伊塔洛·卡尔维诺	 张宓	 译林出版社	2006	16.00元	8.8	26944
长恨歌	王安忆		 南海出版公司	2003	22.00元	8.2	29192
匆匆那年（上下）	九夜茴		 东方出版社	2008	29.00	8.3	27531
草样年华                                   : 北X大的故事	孙睿		 远方出版社	2004	19.50元	7.1	30059
往事并不如烟	章诒和		 人民文学出版社	2004	35.00元	8.6	26676
蔷薇岛屿	安妮宝贝		 作家出版社	2002	18.00元	8.0	27686
我的路	寂地		 北方妇女儿童出版社	2004	20.00元	8.6	26075
菊与刀                                   : 日本文化的类型	（美）鲁思・本尼迪克特	 吕万和	 商务印书馆	1990	16.00	8.2	29072
倾城之恋	张爱玲		 北京十月文艺出版社	2006	29.80元	8.7	26668
刀锋	[英]毛姆	 周煦良	 上海译文出版社	2007	18.00元	9.0	28290
球状闪电	刘慈欣		 四川科学技术出版社	2005	22.00元	8.7	27409
谁动了我的奶酪？	[美] 斯宾塞·约翰逊	 吴立俊	 中信出版社	2001	16.80元	7.1	30267
飞鸟集	[印] 罗宾德拉纳德·泰戈尔	 徐翰林	 哈尔滨出版社	2004	16.80元	8.8	25906
七夜雪	沧月		 北京十月文艺出版社	2006	25.00元	8.4	25892
曾有一个人，爱我如生命	舒仪		 中国画报出版社	2009	23.80	7.5	27778
那些年，我们一起追的女孩	九把刀		 花山文艺出版社	2007	20.00元	8.2	26543
伊豆的舞女	[日] 川端康成	 叶渭渠	 广西师范大学出版社	2002	23.80元	8.2	27274
世界尽头与冷酷仙境	[日] 村上春树	 林少华	 上海译文出版社	2002	23.00元	8.6	26065
傲慢与偏见	[英] 奥斯丁	 王科一	 上海译文出版社	1996	11.00元	9.0	25754
最初的爱情 最后的仪式	[英] 伊恩·麦克尤恩	 潘帕	 南京大学出版社	2010	22.00元	8.0	26571
鬼吹灯之云南虫谷	天下霸唱		 安徽文艺出版社	2006	26.80元	8.0	26889
明朝那些事儿（柒）：大结局                                   : 大结局	当年明月		 中国海关出版社	2009	29.80元	8.9	25114
把时间当作朋友                                   : 运用心智获得解放	李笑来		 电子工业出版社	2009	32.00元	8.5	26281
秘密	[澳] 朗达·拜恩	 谢明宪	 中国城市出版社	2008	32.00	7.3	28586
天使与魔鬼	[美] 丹.布朗	 朱振武	 人民文学出版社	2005	29.80元	8.2	26076
拆掉思维里的墙                                   : 原来我还可以这样活	古典		 中国书店	2010	29.80元	7.9	27192
明朝那些事儿（陆）                                   : 日暮西山	当年明月		 中国海关出版社	2008	28.80	8.8	25180
佛祖在一号线	李海鹏		 文化艺术出版社	2010	25.00元	8.2	25470
倚天屠龙记(共四册)	金庸		 三联书店	1999	0	8.5	25573
阿狸·梦之城堡	hans		 上海锦绣文章出版社	2009	36.80元	9.0	23900
杜拉拉2华年似水                                   : 《杜拉拉升职记》第二部	李可		 陕西师范大学出版社	2009	28.00	7.3	27270
不朽	落落		 长江文艺出版社	2007	22.00	7.6	26504
